State wise Ground Water Availability Data of India (In bcm) of Year 2020,,,,,,
,,,,,,
State Name,Net Groundwater Availability,Total GW Recharge,Natural Discharge During Non-Monsoon Season,,,
Andaman & Nicobar Island,0.28,0.32,0.03,,,
Andhra Pradesh,22.94,24.15,1.21,,,
Arunachal Pradesh,2.92,3.19,0.27,,, https://indiawris.gov.in/filedir/waterquality/Pravesh.Econ@Presiuniv.Ac.In.zip
Assam,21.97,27.05,5.09,,,
Bihar,25.46,28.05,2.6,,,
Chandigarh,0.06,0.06,0.01,,,
Chhattisgarh,11.55,12.65,1.11,,,
Dadara & Nagar Havelli,0.07,0.07,0.005,,,
Daman & Diu,0.03,0.03,0.001,,,
Delhi,0.29,0.32,0.03,,,
Goa,0.32,0.4,0.08,,,
Gujarat,24.91,26.81,1.9,,,
Haryana,8.63,9.53,0.9,,,
Himachal Pradesh,0.97,1.07,0.1,,,
Jammu & Kashmir,4.22,4.68,0.46,,,
Jharkhand,5.64,6.15,0.51,,,
Karnataka,16.4,18.16,1.76,,,
Kerala,5.12,5.65,0.53,,,
Ladakh,0.11,0.12,0.01,,,
Lakshadweep,0.005,0.01,0.01,,,
Madhya Pradesh,33.38,36.16,2.78,,,
Maharashtra,30.25,32.01,1.76,,,
Manipur,0.46,0.51,0.05,,,
Meghalaya,1.82,2.04,0.22,,,
Mizoram,0.2,0.22,0.02,,,
Nagaland,1.95,2.17,0.22,,,
Odisha,15.71,17.08,1.37,,,
Puducherry,0.2,0.22,0.02,,,
Punjab,20.59,22.8,2.2,,,
Rajasthan,11.07,12.24,1.17,,,
Sikkim,0.86,0.96,0.1,,,
Tamil Nadu,17.69,19.59,1.9,,,
Telangana,15.03,16.63,1.6,,,
Tripura,1.24,1.47,0.22,,,
Uttar Pradesh,66.88,72.2,5.32,,,
Uttarakhand,1.85,2.02,0.17,,,
West Bengal,26.56,29.33,2.77,,,
