Sl. No,HHID,Environment,Use,Access,Capacity,Resource,wpi_add,wpi_pca,Statename
41,67776209,0.266,0.466,0.595,0.165,0.564,0.4112,0.4014,Jammu & Kashmir
42,67776209,0.266,0.466,0.595,0.165,0.564,0.4112,0.4014,Jammu & Kashmir
43,67776209,0.266,0.466,0.595,0.665,0.564,0.5112,0.5014,Jammu & Kashmir
44,67776209,0.266,0.466,0.595,0.495,0.564,0.4772,0.4674,Jammu & Kashmir
48,67776209,0.266,0.466,0.595,0.665,0.564,0.5112,0.5014,Jammu & Kashmir
49,67776209,0.266,0.466,0.595,0.495,0.564,0.4772,0.4674,Jammu & Kashmir
332,67779201,0.266,0.4,0.595,0.495,1,0.5512,0.4912,Jammu & Kashmir
333,67779201,0.266,0.4,0.595,0.495,1,0.5512,0.4912,Jammu & Kashmir
334,67779201,0.266,0.4,0.595,0.665,1,0.5852,0.5252,Jammu & Kashmir
335,67779201,0.266,0.4,0.595,0.665,1,0.5852,0.5252,Jammu & Kashmir
336,67779201,0.266,0.4,0.595,0.495,1,0.5512,0.4912,Jammu & Kashmir
377,67770101,0.866,0.8,0.595,0.665,0.298,0.6448,0.695,Jammu & Kashmir
378,67770101,0.866,0.8,0.595,0.495,0.298,0.6108,0.661,Jammu & Kashmir
379,67770102,0.866,0.8,0.595,0.665,0.298,0.6448,0.695,Jammu & Kashmir
380,67770102,0.866,0.8,0.595,0.165,0.298,0.5448,0.595,Jammu & Kashmir
387,67770202,0.866,0.8,0.595,0.665,0.598,0.7048,0.725,Jammu & Kashmir
388,67770202,0.866,0.8,0.595,0.495,0.598,0.6708,0.691,Jammu & Kashmir
389,67770202,0.866,0.8,0.595,0.495,0.598,0.6708,0.691,Jammu & Kashmir
390,67770202,0.866,0.8,0.595,0.495,0.598,0.6708,0.691,Jammu & Kashmir
407,67770207,0.866,0.8,0.595,0.665,0.598,0.7048,0.725,Jammu & Kashmir
408,67770207,0.866,0.8,0.595,0.495,0.598,0.6708,0.691,Jammu & Kashmir
409,67770207,0.866,0.8,0.595,0.665,0.598,0.7048,0.725,Jammu & Kashmir
410,67770207,0.866,0.8,0.595,0.665,0.598,0.7048,0.725,Jammu & Kashmir
411,67770207,0.866,0.8,0.595,0.495,0.598,0.6708,0.691,Jammu & Kashmir
412,67770207,0.866,0.8,0.595,0.495,0.598,0.6708,0.691,Jammu & Kashmir
417,67770209,0.866,0.8,0.595,0.665,0.298,0.6448,0.695,Jammu & Kashmir
418,67770209,0.866,0.8,0.595,0.495,0.298,0.6108,0.661,Jammu & Kashmir
419,67770209,0.866,0.8,0.595,0.665,0.298,0.6448,0.695,Jammu & Kashmir
420,67770209,0.866,0.8,0.595,0.665,0.298,0.6448,0.695,Jammu & Kashmir
421,67770209,0.866,0.8,0.595,0.665,0.298,0.6448,0.695,Jammu & Kashmir
422,67770209,0.866,0.8,0.595,0.665,0.298,0.6448,0.695,Jammu & Kashmir
479,67766102,0.932,0.8,0.298,0.665,1,0.739,0.719,Jammu & Kashmir
480,67766102,0.932,0.8,0.298,0.665,1,0.739,0.719,Jammu & Kashmir
499,67766206,0.866,0.8,0.298,0.665,1,0.7258,0.7058,Jammu & Kashmir
500,67766206,0.866,0.8,0.298,0.665,1,0.7258,0.7058,Jammu & Kashmir
501,67766206,0.866,0.8,0.298,0.495,1,0.6918,0.6718,Jammu & Kashmir
502,67766206,0.866,0.8,0.298,0.495,1,0.6918,0.6718,Jammu & Kashmir
503,67766207,0.866,0.8,0.298,0.665,1,0.7258,0.7058,Jammu & Kashmir
504,67766207,0.866,0.8,0.298,0.665,1,0.7258,0.7058,Jammu & Kashmir
505,67766207,0.866,0.8,0.298,0.495,1,0.6918,0.6718,Jammu & Kashmir
506,67766207,0.866,0.8,0.298,0.495,1,0.6918,0.6718,Jammu & Kashmir
507,67766208,0.866,0.8,0.298,0.665,1,0.7258,0.7058,Jammu & Kashmir
508,67766208,0.866,0.8,0.298,0.665,1,0.7258,0.7058,Jammu & Kashmir
509,67766208,0.866,0.8,0.298,0.495,1,0.6918,0.6718,Jammu & Kashmir
510,67766208,0.866,0.8,0.298,0.495,1,0.6918,0.6718,Jammu & Kashmir
511,67766209,0.866,0.8,0.298,0.495,1,0.6918,0.6718,Jammu & Kashmir
512,67766209,0.866,0.8,0.298,0.495,1,0.6918,0.6718,Jammu & Kashmir
513,67766209,0.866,0.8,0.298,0.665,1,0.7258,0.7058,Jammu & Kashmir
514,67766209,0.866,0.8,0.298,0.665,1,0.7258,0.7058,Jammu & Kashmir
571,67765210,0.132,0.4,0.595,0.165,0.598,0.378,0.3582,Jammu & Kashmir
572,67765210,0.132,0.4,0.595,0.165,0.598,0.378,0.3582,Jammu & Kashmir
573,67765210,0.132,0.4,0.595,0.495,0.598,0.444,0.4242,Jammu & Kashmir
574,67765210,0.132,0.4,0.595,0.495,0.598,0.444,0.4242,Jammu & Kashmir
575,67765210,0.132,0.4,0.595,0.495,0.598,0.444,0.4242,Jammu & Kashmir
576,67764101,0.866,0.8,0.595,0.665,1,0.7852,0.7652,Jammu & Kashmir
577,67764101,0.866,0.8,0.595,0.665,1,0.7852,0.7652,Jammu & Kashmir
578,67764101,0.866,0.8,0.595,0.665,1,0.7852,0.7652,Jammu & Kashmir
579,67764101,0.866,0.8,0.595,0.665,1,0.7852,0.7652,Jammu & Kashmir
584,67764201,0.866,0.8,0.595,0.665,1,0.7852,0.7652,Jammu & Kashmir
