Average rainfall,x,y,address
1.337721987,74.5,37.25,"ولسوالی واخان, ولایت بدخشان, افغانستان"
1.463585902,74.75,37.25,"达布达尔乡 دەفتەر يېزىسى, 塔什库尔干塔吉克自治县 تاشقۇرغان تاجیك ئاپتونوم ناھىيىسى, 喀什地区 قەشقەر ۋىلايىتى, 新疆维吾尔自治区 شىنجاڭ ئۇيغۇر ئاپتونوم رايونی, 中国"
1.564412442,75,37.25,"达布达尔乡 دەفتەر يېزىسى, 塔什库尔干塔吉克自治县 تاشقۇرغان تاجیك ئاپتونوم ناھىيىسى, 喀什地区 قەشقەر ۋىلايىتى, 新疆维吾尔自治区 شىنجاڭ ئۇيغۇر ئاپتونوم رايونی, 中国"
1.625728408,75.25,37.25,"达布达尔乡 دەفتەر يېزىسى, 塔什库尔干塔吉克自治县 تاشقۇرغان تاجیك ئاپتونوم ناھىيىسى, 喀什地区 قەشقەر ۋىلايىتى, 新疆维吾尔自治区 شىنجاڭ ئۇيغۇر ئاپتونوم رايونی, 中国"
0.886894144,73.5,37,"ولسوالی واخان, ولایت بدخشان, افغانستان"
1.005350404,73.75,37,"ولسوالی واخان, ولایت بدخشان, افغانستان"
1.167141686,74,37,"ولسوالی واخان, ولایت بدخشان, افغانستان"
1.337170643,74.25,37,"ولسوالی واخان, ولایت بدخشان, افغانستان"
1.482389965,74.5,37,"ولسوالی واخان, ولایت بدخشان, افغانستان"
1.589619735,74.75,37,"ہنزہ, گلگت بلتستان, پاکستان"
1.665907817,75,37,"达布达尔乡 دەفتەر يېزىسى, 塔什库尔干塔吉克自治县 تاشقۇرغان تاجیك ئاپتونوم ناھىيىسى, 喀什地区 قەشقەر ۋىلايىتى, 新疆维吾尔自治区 شىنجاڭ ئۇيغۇر ئاپتونوم رايونی, 中国"
1.687496832,75.25,37,"达布达尔乡 دەفتەر يېزىسى, 塔什库尔干塔吉克自治县 تاشقۇرغان تاجیك ئاپتونوم ناھىيىسى, 喀什地区 قەشقەر ۋىلايىتى, 新疆维吾尔自治区 شىنجاڭ ئۇيغۇر ئاپتونوم رايونی, 中国"
1.622602295,75.5,37,"达布达尔乡 دەفتەر يېزىسى, 塔什库尔干塔吉克自治县 تاشقۇرغان تاجیك ئاپتونوم ناھىيىسى, 喀什地区 قەشقەر ۋىلايىتى, 新疆维吾尔自治区 شىنجاڭ ئۇيغۇر ئاپتونوم رايونی, 中国"
0.814695272,73,36.75,"Turikand, ضلع چترال بالا‎, ضلع چترال, مالاکنڈ ڈویژن, خیبر پختونخوا, پاکستان"
0.843552556,73.25,36.75,"ضلع چترال, مالاکنڈ ڈویژن, خیبر پختونخوا, پاکستان"
0.945114793,73.5,36.75,"ضلع چترال, مالاکنڈ ڈویژن, خیبر پختونخوا, پاکستان"
1.122583462,73.75,36.75,"ضلع چترال, مالاکنڈ ڈویژن, خیبر پختونخوا, پاکستان"
1.329964281,74,36.75,"Gilgit District, نگر, گلگت بلتستان, پاکستان"
1.507463851,74.25,36.75,"ہنزہ, گلگت بلتستان, پاکستان"
1.626722352,74.5,36.75,"ہنزہ, گلگت بلتستان, پاکستان"
1.698164071,74.75,36.75,"Yarzrich, ہنزہ, گلگت بلتستان, پاکستان"
1.742183452,75,36.75,"ہنزہ, گلگت بلتستان, پاکستان"
1.709535545,75.25,36.75,"ہنزہ, گلگت بلتستان, پاکستان"
1.557820966,75.5,36.75,"达布达尔乡 دەفتەر يېزىسى, 塔什库尔干塔吉克自治县 تاشقۇرغان تاجیك ئاپتونوم ناھىيىسى, 喀什地区 قەشقەر ۋىلايىتى, 新疆维吾尔自治区 شىنجاڭ ئۇيغۇر ئاپتونوم رايونی, 中国"
1.322072644,75.75,36.75,"达布达尔乡 دەفتەر يېزىسى, 塔什库尔干塔吉克自治县 تاشقۇرغان تاجیك ئاپتونوم ناھىيىسى, 喀什地区 قەشقەر ۋىلايىتى, 新疆维吾尔自治区 شىنجاڭ ئۇيغۇر ئاپتونوم رايونی, 中国"
0.816491607,72.5,36.5,"Chatgoz & Sharastoon Khot, ضلع چترال بالا‎, ضلع چترال, مالاکنڈ ڈویژن, خیبر پختونخوا, پاکستان"
0.815591573,72.75,36.5,"Such Mastuj, ضلع چترال بالا‎, ضلع چترال, مالاکنڈ ڈویژن, خیبر پختونخوا, پاکستان"
0.815309793,73,36.5,"گلگت بلتستان, پاکستان"
0.87506513,73.25,36.5,"Draskin, گلگت بلتستان, پاکستان"
1.044358645,73.5,36.5,"گلگت بلتستان, پاکستان"
1.299510844,73.75,36.5,"Gilgit District, نگر, گلگت بلتستان, پاکستان"
1.537005704,74,36.5,"Bilhans, گلگت بلتستان, پاکستان"
1.684170484,74.25,36.5,"Gilgit District, نگر, گلگت بلتستان, پاکستان"
1.746230021,74.5,36.5,"ہنزہ, گلگت بلتستان, پاکستان"
1.770853554,74.75,36.5,"ہنزہ, گلگت بلتستان, پاکستان"
1.785965516,75,36.5,"ہنزہ, گلگت بلتستان, پاکستان"
1.677260123,75.25,36.5,"ہنزہ, گلگت بلتستان, پاکستان"
1.406690948,75.5,36.5,"ہنزہ, گلگت بلتستان, پاکستان"
1.085468864,75.75,36.5,"ہنزہ, گلگت بلتستان, پاکستان"
0.823835483,76,36.5,"达布达尔乡 دەفتەر يېزىسى, 塔什库尔干塔吉克自治县 تاشقۇرغان تاجیك ئاپتونوم ناھىيىسى, 喀什地区 قەشقەر ۋىلايىتى, 新疆维吾尔自治区 شىنجاڭ ئۇيغۇر ئاپتونوم رايونی, 中国"
0.63506455,76.25,36.5,"达布达尔乡 دەفتەر يېزىسى, 塔什库尔干塔吉克自治县 تاشقۇرغان تاجیك ئاپتونوم ناھىيىسى, 喀什地区 قەشقەر ۋىلايىتى, 新疆维吾尔自治区 شىنجاڭ ئۇيغۇر ئاپتونوم رايونی, 中国"
0.815843108,72.5,36.25,"Istordeni, مستوج, ضلع چترال بالا‎, ضلع چترال, مالاکنڈ ڈویژن, خیبر پختونخوا, پاکستان"
0.814940796,72.75,36.25,"گلگت بلتستان, پاکستان"
0.819579318,73,36.25,"گلگت بلتستان, پاکستان"
0.932514801,73.25,36.25,"گلگت بلتستان, پاکستان"
1.213540054,73.5,36.25,"Hakis, گلگت بلتستان, پاکستان"
1.554448016,73.75,36.25,"Hatoon/Mayoon, گلگت بلتستان, پاکستان"
1.773625772,74,36.25,"Gilgit District, نگر, گلگت بلتستان, پاکستان"
1.831851796,74.25,36.25,"Dass Chaprote, Gilgit District, نگر, گلگت بلتستان, پاکستان"
1.808177497,74.5,36.25,"ہنزہ, گلگت بلتستان, پاکستان"
1.795617154,74.75,36.25,"Hariggram Nagar, نگر, گلگت بلتستان, 15700, پاکستان"
1.799908855,75,36.25,"نگر, گلگت بلتستان, 15400, پاکستان"
1.567329464,75.25,36.25,"نگر, گلگت بلتستان, 15400, پاکستان"
1.136500416,75.5,36.25,"ہنزہ, گلگت بلتستان, پاکستان"
0.764914938,75.75,36.25,"ہنزہ, گلگت بلتستان, پاکستان"
0.564055797,76,36.25,"ہنزہ, گلگت بلتستان, پاکستان"
0.447024331,76.25,36.25,"达布达尔乡 دەفتەر يېزىسى, 塔什库尔干塔吉克自治县 تاشقۇرغان تاجیك ئاپتونوم ناھىيىسى, 喀什地区 قەشقەر ۋىلايىتى, 新疆维吾尔自治区 شىنجاڭ ئۇيغۇر ئاپتونوم رايونی, 中国"
0.306010997,76.5,36.25,"达布达尔乡 دەفتەر يېزىسى, 塔什库尔干塔吉克自治县 تاشقۇرغان تاجیك ئاپتونوم ناھىيىسى, 喀什地区 قەشقەر ۋىلايىتى, 新疆维吾尔自治区 شىنجاڭ ئۇيغۇر ئاپتونوم رايونی, 中国"
0.178699679,76.75,36.25,"达布达尔乡 دەفتەر يېزىسى, 塔什库尔干塔吉克自治县 تاشقۇرغان تاجیك ئاپتونوم ناھىيىسى, 喀什地区 قەشقەر ۋىلايىتى, 新疆维吾尔自治区 شىنجاڭ ئۇيغۇر ئاپتونوم رايونی, 中国"
0.815267278,72.5,36,"ضلع چترال, مالاکنڈ ڈویژن, خیبر پختونخوا, پاکستان"
0.814129089,72.75,36,"گلگت بلتستان, پاکستان"
0.831285985,73,36,"گلگت بلتستان, پاکستان"
1.042162886,73.25,36,"گلگت بلتستان, پاکستان"
1.495038352,73.5,36,"گلگت بلتستان, پاکستان"
1.892220038,73.75,36,"Gilgit District, نگر, گلگت بلتستان, پاکستان"
1.994904567,74,36,"Gilgit District, نگر, گلگت بلتستان, پاکستان"
1.8898573,74.25,36,"گلگت, گلگت بلتستان, پاکستان"
1.786757448,74.5,36,"Datuchi Khas Bagrote, گلگت, گلگت بلتستان, پاکستان"
1.786238758,74.75,36,"گلگت, گلگت بلتستان, 15100, پاکستان"
1.80942311,75,36,"شگر, گلگت بلتستان, پاکستان"
1.338991542,75.25,36,"Kichik Brangsa pastures, شگر, گلگت بلتستان, پاکستان"
0.707715411,75.5,36,"شگر, گلگت بلتستان, پاکستان"
0.394704424,75.75,36,"Baltistān District, شگر, گلگت بلتستان, پاکستان"
0.363966008,76,36,"Baltistān District, شگر, گلگت بلتستان, پاکستان"
0.331767646,76.25,36,"达布达尔乡 دەفتەر يېزىسى, 塔什库尔干塔吉克自治县 تاشقۇرغان تاجیك ئاپتونوم ناھىيىسى, 喀什地区 قەشقەر ۋىلايىتى, 新疆维吾尔自治区 شىنجاڭ ئۇيغۇر ئاپتونوم رايونی, 中国"
